loss_type,beta_value,layers,model_architecture,n_temp_feats,geom_model,n_geom_feats,val_loss,kld_loss
corresponding_points,0.001,"[50, 100, 200]",vae_conv,16,pca,12,1.377,
chamfer_loss,0.001,"[50, 100, 200]",vae_conv,16,pca,12,1.534,
time_series_loss,0.001,"[50, 100, 200]",vae_conv,16,pca,12,1.4555,
corresponding_points,0.1,"[50, 100, 200]",vae_conv,16,pca,12,2.012,
corresponding_points,0.01,"[50, 100, 200]",vae_conv,16,pca,12,1.648,
corresponding_points,0.001,"[50, 100, 200]",vae_conv,16,pca,12,1.4084,
corresponding_points,0.0001,"[50, 100, 200]",vae_conv,16,pca,12,1.3608,
corresponding_points,0.00001,"[50, 100, 200]",vae_conv,16,pca,12,1.3759,
corresponding_points,0.001,"[50, 100]",vae_conv,16,pca,12,1.137155,
corresponding_points,0.001,"[25, 50, 100]",vae_conv,16,pca,12,1.439251,
corresponding_points,0.001,[50],vae_conv,16,pca,12,1.0529,
corresponding_points,0.001,"[100, 150]",vae_conv,16,pca,12,1.1916,
corresponding_points,0.001,[25],vae_conv,16,pca,12,1.0684,
corresponding_points,0.001,[100],vae_conv,16,pca,12,1.0642,
corresponding_points,0.001,"[50, 100, 200]",timeVAE,16,pca,12,1.2874,
corresponding_points,0.001,"[50, 100, 200]",vae_conv,24,pca,12,1.4709,
chamfer_loss,0.001,"[50, 100, 200]",vae_conv,16,gdl,12,1.6635,
time_series_loss,0.001,"[50, 100, 200]",vae_conv,16,gdl,12,2.294,
chamfer_loss,0.1,"[50, 100, 200]",vae_conv,16,gdl,12,2.0885,
chamfer_loss,0.01,"[50, 100, 200]",vae_conv,16,gdl,12,1.692,
chamfer_loss,0.0001,"[50, 100, 200]",vae_conv,16,gdl,12,1.5285,
chamfer_loss,0.00001,"[50, 100, 200]",vae_conv,16,gdl,12,1.5164,
chamfer_loss,0.001,"[50, 100]",vae_conv,16,gdl,12,1.3301,
chamfer_loss,0.001,"[25, 50, 100]",vae_conv,16,gdl,12,1.6522,
chamfer_loss,0.001,[50],vae_conv,16,gdl,12,1.22,
chamfer_loss,0.001,"[100, 150]",vae_conv,16,gdl,12,1.3353,
chamfer_loss,0.001,[25],vae_conv,16,gdl,12,1.22,
chamfer_loss,0.001,[100],vae_conv,16,gdl,12,1.234637,
chamfer_loss,0.001,"[50, 100, 200]",timeVAE,16,gdl,12,1.4795,
corresponding_points,0.0001,[50],timeVAE,12,pca,12,1.1002,70.177271
corresponding_points,0.0001,[50],timeVAE,12,pca,16,1.1178,70.318287
corresponding_points,0.0001,[50],timeVAE,12,pca,24,1.109,74.377425
corresponding_points,0.0001,[50],timeVAE,16,pca,12,1.0435,89.922578
corresponding_points,0.0001,[50],timeVAE,16,pca,16,1.0332,91.887536
corresponding_points,0.0001,[50],timeVAE,16,pca,24,1.0571,92.133153
corresponding_points,0.0001,[50],timeVAE,24,pca,12,0.9879,129.435524
corresponding_points,0.0001,[50],timeVAE,24,pca,16,0.9573,129.180123
corresponding_points,0.0001,[50],timeVAE,24,pca,24,1.01,129.63186
chamfer_loss,0.0001,[50],timeVAE,12,gdl,12,1.2473,65.009724
chamfer_loss,0.0001,[50],timeVAE,12,gdl,16,1.2454,65.113269
chamfer_loss,0.0001,[50],timeVAE,12,gdl,24,1.2727,66.9555
chamfer_loss,0.0001,[50],timeVAE,16,gdl,12,1.185,82.626013
chamfer_loss,0.0001,[50],timeVAE,16,gdl,16,1.1942,83.957793
chamfer_loss,0.0001,[50],timeVAE,16,gdl,24,1.2258,88.50997
chamfer_loss,0.0001,[50],timeVAE,24,gdl,12,1.1633,115.429398
chamfer_loss,0.0001,[50],timeVAE,24,gdl,16,1.1509,122.416327
chamfer_loss,0.0001,[50],timeVAE,24,gdl,24,1.1745,122.416327
chamfer_loss,0.0001,[50],timeVAE,50,gdl,12,1.1534,200.0507
chamfer_loss,0.0001,[50],timeVAE,50,gdl,16,1.1363,207.0358
chamfer_loss,0.0001,[50],timeVAE,50,gdl,24,1.1599,212.1495
corresponding_points,0.0001,[50],timeVAE,50,pca,12,0.9613,232.927643
corresponding_points,0.0001,[50],timeVAE,50,pca,16,0.9272,236.151968
corresponding_points,0.0001,[50],timeVAE,50,pca,24,0.9906,235.222715
corresponding_points,0.0001,[50],timeVAES,5,pca,16,0.7919,
corresponding_points,0.0001,[50],timeVAES,6,pca,16,0.887,
corresponding_points,0.0001,[50],timeVAES,8,pca,16,0.7101,
chamfer_loss,0.0001,[50],timeVAES,5,gdl,16,1.0038,
chamfer_loss,0.0001,[50],timeVAES,6,gdl,16,1.2109,
chamfer_loss,0.0001,[50],timeVAES,8,gdl,16,1.0732,
