,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
PCA ED,0.8002891510525098,0.3571428571428571,0.03107692307692308,0.05387205387205387,0.6385397746907181
PCA ES,0.8079111727966689,0.575,0.06184615384615385,0.10725178960473078,0.6478279079411154
PCA COMBINED,0.8048693037242656,0.5946031746031746,0.09353846153846154,0.15170755170755174,0.6627451793489529
"PCAxPCA (12, 50)",0.8049386999768678,0.5188311688311689,0.17230769230769233,0.2576849576849577,0.6948202363674062
"PCAxPCA (24, 50)",0.794263243118205,0.4586691086691087,0.15630769230769231,0.22978496178411287,0.6788907319095998
"PCAxPCAS (12,50)",0.7835762202174414,0.40975723622782445,0.19630769230769232,0.2634641285804077,0.7039463680973116
"PCAxPCAS (24,50)",0.7303030303030302,0.35025560198315614,0.37569230769230766,0.3592450980392157,0.7063953279424977
GDLxPCAS,0.7851260698588943,0.4033333333333333,0.13261538461538463,0.19449915110356536,0.6800626166286543
PCAxTimeVAE,0.8048693037242656,0.58,0.07015384615384615,0.1226391169494618,0.6764043126684636
GDLxTimeVAE,0.794205412907703,0.4257142857142857,0.08584615384615386,0.13908531124048365,0.664987766950031
PCAxTimeVAES,0.78206106870229,0.4144276775855723,0.2350769230769231,0.2968710189762821,0.7060561199806483
GDLxTimeVAES,0.7835530881332409,0.37404040404040406,0.15692307692307692,0.21937919883400517,0.6849699357246527
EF,0.804880869766366,0.26666666666666666,0.015692307692307693,0.029177718832891247,0.6162792176377083
