,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
PCA ED,0.7500202634245188,0.5320862470862471,0.19301587301587303,0.2773507083667469,0.7387053152497896
PCA ES,0.7698986828774063,0.599002886002886,0.27825396825396825,0.37485141530354393,0.7548490423423038
PCA COMBINED,0.7940425531914894,0.7001508295625942,0.3406349206349207,0.4507153793358324,0.7678784922774141
"PCAxPCA (12, 50)",0.77403242147923,0.563387659039833,0.40285714285714286,0.4687275804758344,0.7919281507152127
"PCAxPCA (24, 50)",0.8052988855116514,0.6469816849816851,0.5001587301587301,0.5636710852899378,0.8016207875183617
"PCAxPCAS (12,50)",0.7840526849037487,0.5932967032967034,0.4601587301587301,0.5169711163153785,0.7976433491635648
"PCAxPCAS (24,50)",0.7642046605876394,0.5260961332916604,0.6649206349206349,0.586700688372515,0.795024515466564
GDLxPCAS,0.7925227963525836,0.6010906298003073,0.5115873015873016,0.5525230325230326,0.8018183088749126
PCAxTimeVAE,0.7571124620060791,0.5326628444019749,0.30095238095238097,0.38085385878489325,0.7658230722058216
GDLxTimeVAE,0.7882978723404255,0.6552380952380953,0.37507936507936507,0.46403697555577256,0.7897241261284387
PCAxTimeVAES,0.7925835866261399,0.6019760631525337,0.5114285714285713,0.5512474588497607,0.7920000570458792
GDLxTimeVAES,0.8039614994934144,0.6947263993316625,0.3979365079365079,0.5027264330300383,0.8082617264935325
EF,0.772725430597771,0.6443223443223443,0.21634920634920635,0.320188075230092,0.705995236669091
